p,mean_lambda_2,std_lambda_2,mean_trace,mean_lambda_max,mean_lambda_cond,mean_critical_sigma,std_critical_sigma
0,2.299911389,0.120403777,250,8.845395291,3.856955314,0.276891602,0.024226893
0.01,2.320602136,0.126946328,250,8.750222023,3.784423469,0.272921387,0.024163953
0.02,2.401893937,0.133284968,250,8.744062096,3.654965991,0.269697754,0.023618721
0.03,2.399250698,0.115677903,250,8.594681911,3.59113287,0.273490234,0.026846347
0.04,2.460851262,0.167666918,250,8.611928597,3.519556816,0.262195312,0.02076385
0.05,2.455585409,0.148736167,250,8.495282961,3.475379798,0.263474121,0.023419391
0.06,2.443487153,0.147765442,250,8.493452463,3.492570216,0.265544434,0.026054911
0.07,2.494182878,0.163871425,250,8.505154006,3.429828997,0.263260742,0.023801378
0.08,2.504254755,0.170836731,250,8.449151353,3.39462094,0.261289551,0.024144391
0.09,2.631245363,0.203804829,250,8.178117533,3.13306655,0.252021484,0.023339198
0.1,2.612419447,0.178367901,250,8.341281028,3.21151706,0.257838867,0.025253574
0.11,2.598922651,0.160342984,250,8.250137585,3.190016969,0.255557617,0.025479784
0.12,2.645482469,0.165935457,250,8.145378369,3.094579024,0.248542969,0.021235183
0.13,2.704838742,0.167767479,250,8.027556962,2.982169294,0.249148437,0.023737886
0.14,2.722612946,0.178030925,250,8.008778658,2.959212705,0.249079102,0.025729644
0.15,2.795039312,0.17342136,250,7.812026731,2.809371783,0.243050293,0.020865285
0.16,2.794822966,0.207715477,250,7.775428365,2.80213701,0.238958496,0.019029728
0.17,2.814484667,0.231970918,250,7.806004475,2.798684333,0.242115234,0.019319825
0.18,2.893601431,0.207848806,250,7.612865946,2.651205813,0.235611328,0.017752049
0.19,2.861655974,0.209951668,250,7.785189489,2.744114355,0.239008301,0.022034455
0.2,2.874771014,0.187999886,250,7.719260717,2.701044793,0.234228516,0.017072689
0.21,2.891137751,0.195861336,250,7.62564222,2.655010726,0.237251953,0.01866192
0.22,2.973523502,0.195493623,250,7.485998228,2.53200793,0.236056641,0.019782252
0.23,3.023896342,0.20973746,250,7.448172635,2.4805031,0.234509766,0.019708042
0.24,3.030567849,0.17530541,250,7.445494942,2.46912668,0.232966309,0.020297858
0.25,3.078636597,0.202853952,250,7.446764151,2.433819491,0.226330078,0.016623875
0.26,3.013383572,0.209948109,250,7.436575071,2.483222512,0.227613281,0.017578109
0.27,3.080590197,0.228668634,250,7.268305547,2.378205118,0.227395996,0.016830942
0.28,3.142104426,0.218025558,250,7.270808359,2.330278051,0.229142578,0.018752061
0.29,3.147240287,0.22783574,250,7.230172386,2.314264755,0.227220703,0.017193107
