p,mean_lambda_2,std_lambda_2,mean_trace,mean_lambda_max,mean_lambda_cond,mean_critical_sigma,std_critical_sigma
0,1.397500833,0.101081298,200,8.176800358,5.881378259,0.428453125,0.037316557
0.01,1.421064206,0.103946366,200,8.09049729,5.721244982,0.428046875,0.038794864
0.02,1.417548641,0.095025133,200,7.974338458,5.653594078,0.422140625,0.04037116
0.03,1.477605884,0.111192462,200,8.070150265,5.493751931,0.418179688,0.037929483
0.04,1.452493799,0.112785923,200,8.052633759,5.575357951,0.418398438,0.037941634
0.05,1.499389637,0.13626655,200,7.954977412,5.355611789,0.40878125,0.039293632
0.06,1.50997976,0.136603512,200,7.748005715,5.183231099,0.4085625,0.034551115
0.07,1.539515803,0.138646948,200,7.821375102,5.134113952,0.404976563,0.04611065
0.08,1.528743208,0.133675635,200,7.631669826,5.033232262,0.404882813,0.041949906
0.09,1.5632196,0.147330097,200,7.619327492,4.933020595,0.396632813,0.038879053
0.1,1.573997345,0.13630117,200,7.614621654,4.883004058,0.395226563,0.037004687
0.11,1.617589774,0.14065889,200,7.611893438,4.750908067,0.396953125,0.041844672
0.12,1.587927211,0.128893251,200,7.526736479,4.78217647,0.384789063,0.031002429
0.13,1.637852803,0.170181002,200,7.485015748,4.631137173,0.389460938,0.042602487
0.14,1.683355745,0.15510312,200,7.426356605,4.454162207,0.380757813,0.03600616
0.15,1.686067249,0.149670368,200,7.379323424,4.412752947,0.380335938,0.03574764
0.16,1.661369613,0.157451688,200,7.444274143,4.532688871,0.372984375,0.034822667
0.17,1.721530185,0.163801093,200,7.200819788,4.233803575,0.365773437,0.028786215
0.18,1.757586499,0.180154615,200,7.207223648,4.152460181,0.367226563,0.029595329
0.19,1.778095691,0.165349272,200,7.178269545,4.086263405,0.370242188,0.033725775
0.2,1.803538579,0.18519881,200,7.16977753,4.029593613,0.362234375,0.033389408
0.21,1.809944526,0.173513264,200,7.039263896,3.931476282,0.35990625,0.028057075
0.22,1.816316334,0.188899074,200,7.067867837,3.940320116,0.3581875,0.030216702
0.23,1.851815313,0.168503166,200,6.933421291,3.787196527,0.357625,0.029101457
0.24,1.835352792,0.18921025,200,6.984724328,3.856615562,0.355507813,0.02995345
0.25,1.913329312,0.183980362,200,6.92384272,3.661837987,0.3540625,0.026151578
0.26,1.873700109,0.207846301,200,6.894993088,3.740834352,0.354492188,0.029222588
0.27,1.914361885,0.178131437,200,6.847133297,3.616758769,0.34840625,0.029487488
0.28,1.924904555,0.181277645,200,6.800020692,3.572635624,0.348609375,0.027965494
0.29,1.966495513,0.196560408,200,6.763782964,3.489203848,0.341820313,0.023696861
0.3,1.990371077,0.201388119,200,6.710930515,3.418023425,0.338570313,0.023083698
0.31,2.00492538,0.194259915,200,6.685782525,3.375942164,0.3409375,0.027485459
0.32,2.009014803,0.175921015,200,6.605878422,3.321752309,0.338140625,0.024812008
0.33,2.053510622,0.186511816,200,6.523548092,3.214782159,0.335921875,0.020089363
0.34,2.087544876,0.196276011,200,6.568768915,3.183943539,0.33478125,0.027538809
0.35,2.109182654,0.212381261,200,6.480998552,3.11351564,0.330273438,0.020290967
0.36,2.113304837,0.1975423,200,6.44358731,3.088212476,0.329085938,0.022461136
0.37,2.134135257,0.221195663,200,6.446330753,3.061889497,0.326609375,0.019207733
0.38,2.155827333,0.215767872,200,6.357083964,2.98830333,0.328429687,0.024035825
0.39,2.132654215,0.208928897,200,6.386917476,3.035960404,0.328976563,0.024037399
0.4,2.14693397,0.217218381,200,6.300978313,2.977408605,0.324007813,0.019073657
0.41,2.21234383,0.21864439,200,6.260645228,2.870980912,0.322429688,0.020757239
0.42,2.21854128,0.223619547,200,6.174902242,2.826414026,0.3211875,0.018194499
0.43,2.249357802,0.231190121,200,6.102204475,2.753391542,0.318648438,0.018223619
0.44,2.233065167,0.244491751,200,6.231552682,2.837302037,0.31971875,0.021255635
0.45,2.331220098,0.240354569,200,6.126987901,2.669064339,0.31575,0.016375798
0.46,2.31670604,0.215223337,200,6.105228556,2.670822018,0.314414063,0.017623855
0.47,2.346631772,0.25241306,200,6.089956701,2.636426961,0.313875,0.017049739
0.48,2.341409654,0.22551968,200,5.995198476,2.59508225,0.313453125,0.016785818
0.49,2.370497969,0.210844951,200,5.90656063,2.518917517,0.312414063,0.014884769
0.5,2.388700356,0.245765701,200,5.956232233,2.533036851,0.313390625,0.015246798
0.51,2.455125507,0.295277811,200,5.832838153,2.42420594,0.308804688,0.012872314
0.52,2.43412751,0.240604167,200,5.84073062,2.434062169,0.309273438,0.011665847
0.53,2.48527239,0.231380675,200,5.845079638,2.376236112,0.308492188,0.015005148
0.54,2.43687943,0.242119378,200,5.775736342,2.406728616,0.3095,0.016262097
0.55,2.483576679,0.228647734,200,5.761205863,2.349306002,0.30646875,0.011888654
0.56,2.513882529,0.222398831,200,5.69686883,2.29293901,0.306210938,0.016710488
0.57,2.553322912,0.243409637,200,5.634968922,2.235249276,0.303210938,0.011601441
0.58,2.553342157,0.219788534,200,5.588835172,2.214409676,0.30296875,0.011211142
