p,mean_lambda_2,std_lambda_2,mean_trace,mean_lambda_max,mean_lambda_cond,mean_critical_sigma,std_critical_sigma
0,0.56259484,0.056386244,150,7.6539878,13.73158925,0.5542771,0.07120252
0.01,0.576755772,0.074587124,150,7.637423184,13.45856936,0.541640625,0.058149671
0.02,0.584862806,0.070704585,150,7.645909889,13.25799605,0.534699951,0.058615479
0.03,0.591566475,0.077135315,150,7.491762266,12.85993511,0.547117187,0.058795247
0.04,0.607113795,0.077630014,150,7.489964905,12.53993591,0.539585938,0.065356692
0.05,0.602933392,0.066667506,150,7.390340015,12.4095441,0.535140137,0.048080264
0.06,0.610595343,0.082102852,150,7.478061186,12.46955077,0.532790771,0.057840309
0.07,0.63489871,0.094495633,150,7.48166484,12.01091997,0.535156982,0.069358146
0.08,0.636273757,0.090307797,150,7.284691159,11.70346029,0.52328125,0.056383901
0.09,0.647530292,0.091563928,150,7.416215194,11.70155417,0.52821875,0.065264709
0.1,0.652213457,0.098270658,150,7.259415075,11.4158997,0.524953125,0.049875127
0.11,0.671682939,0.101752244,150,7.18968615,10.96346732,0.521601563,0.059576588
0.12,0.668713833,0.09312951,150,7.138110334,10.90928428,0.517074463,0.052065611
0.13,0.674341889,0.107611281,150,7.198919908,10.98109927,0.516804688,0.051827856
0.14,0.68817283,0.108658618,150,7.104400882,10.60761415,0.519940186,0.064725325
0.15,0.68912136,0.101550777,150,7.176102277,10.62336732,0.52396875,0.063686528
0.16,0.698567796,0.106887504,150,7.040275598,10.33856431,0.510351563,0.057646232
0.17,0.707122745,0.087195502,150,7.046836667,10.12194307,0.498726562,0.054997187
0.18,0.709774527,0.107975423,150,6.985089594,10.08821696,0.506609375,0.058592387
0.19,0.719454602,0.107025991,150,7.091635925,10.092501,0.498485107,0.050440914
0.2,0.744123237,0.119435876,150,6.920574374,9.589447102,0.498039062,0.049749065
0.21,0.738791387,0.107939017,150,6.881849489,9.545528317,0.499351563,0.052300128
0.22,0.752987731,0.131738274,150,6.793230137,9.325478334,0.493859375,0.059082495
0.23,0.756025988,0.129254302,150,6.889351478,9.392159169,0.499976562,0.056490421
0.24,0.757213759,0.116914226,150,6.758879389,9.149133554,0.492539063,0.054359774
0.25,0.765470594,0.119776173,150,6.81425692,9.181532397,0.495039063,0.055328429
0.26,0.822035806,0.122035539,150,6.55249013,8.176540109,0.4846875,0.049196734
0.27,0.790182356,0.116052865,150,6.670917815,8.667572361,0.489210938,0.049302099
0.28,0.806787663,0.146080374,150,6.687768532,8.623484449,0.485421875,0.063840576
0.29,0.818732114,0.122755823,150,6.66305331,8.357374491,0.483884521,0.062477055
0.3,0.807623908,0.120336761,150,6.54687435,8.306265117,0.477632813,0.049109459
0.31,0.815586406,0.140630121,150,6.627589966,8.408620463,0.476398438,0.048207784
0.32,0.861119818,0.13850515,150,6.504515859,7.797896357,0.475242188,0.052394762
0.33,0.866658187,0.143840578,150,6.456268838,7.714033653,0.473335937,0.04875872
0.34,0.868311659,0.160501637,150,6.421513141,7.705220287,0.486835938,0.05926824
0.35,0.892598684,0.152316504,150,6.408099736,7.424229694,0.467375,0.042485007
0.36,0.872460572,0.163066014,150,6.34964039,7.543097567,0.472546875,0.053309139
0.37,0.876533202,0.142785484,150,6.443130315,7.570391435,0.469234375,0.057124205
0.38,0.913430931,0.155646379,150,6.350626553,7.19121134,0.46018042,0.043429917
0.39,0.919503365,0.160095253,150,6.209412622,7.01482347,0.468570312,0.056253673
0.4,0.941076938,0.155869483,150,6.17890776,6.778904483,0.452101563,0.0512147
0.41,0.94256505,0.14612541,150,6.131001871,6.72496215,0.449539063,0.041369249
0.42,0.953907648,0.14706191,150,6.169481097,6.647844564,0.449429688,0.042419192
0.43,0.96129739,0.152518478,150,6.099937056,6.548008833,0.459078125,0.046916945
0.44,0.986562398,0.178027666,150,6.081504778,6.414863707,0.444539063,0.049798482
0.45,0.970201802,0.163204027,150,6.037285822,6.426748227,0.447375,0.048198632
0.46,1.010681646,0.149772014,150,5.939967423,6.029224728,0.443578125,0.04695203
0.47,1.018746351,0.16782159,150,5.918554832,6.001190816,0.44659375,0.045737903
0.48,1.026067627,0.171440919,150,5.958904324,6.024729752,0.44525,0.043973506
0.49,1.028062985,0.143383704,150,5.894399541,5.888458903,0.44465625,0.042714192
0.5,1.029902779,0.190221039,150,5.874371799,5.951633731,0.44115625,0.046899522
0.51,1.052009767,0.183544322,150,5.78934872,5.719984306,0.447257812,0.049166701
0.52,1.074763069,0.176155099,150,5.852355907,5.654105512,0.431445313,0.046397618
0.53,1.106893713,0.194879132,150,5.804598213,5.477088824,0.435898438,0.047218323
0.54,1.076466706,0.169963397,150,5.723325287,5.487706255,0.441453125,0.046901076
0.55,1.092515151,0.170348856,150,5.743789666,5.422683847,0.431585938,0.049775283
0.56,1.105979412,0.202028782,150,5.73647111,5.405704038,0.430367187,0.046919595
0.57,1.146990834,0.176108902,150,5.665112208,5.093493624,0.426007812,0.045207353
0.58,1.161775301,0.184416129,150,5.680041777,5.052243038,0.43125,0.048989857
0.59,1.173566849,0.178037717,150,5.650804702,4.972397179,0.421359375,0.046138051
0.6,1.216134212,0.171987428,150,5.575043303,4.704829388,0.418679688,0.040165383
0.61,1.144035159,0.202429004,150,5.556566018,5.071301952,0.418695313,0.0442519
0.62,1.208866015,0.209841799,150,5.448598808,4.697034707,0.414625,0.043068574
0.63,1.210816647,0.226544489,150,5.490955287,4.732969608,0.425148438,0.046059136
0.64,1.238818426,0.195324415,150,5.476061294,4.568607849,0.41528125,0.047654562
0.65,1.262415183,0.183764201,150,5.397626463,4.401988333,0.417390625,0.043312985
0.66,1.252128507,0.21211939,150,5.300120637,4.393141441,0.405578125,0.038511191
0.67,1.278997145,0.195917125,150,5.202810798,4.195435294,0.407757813,0.038005103
0.68,1.313795419,0.202830711,150,5.238965434,4.119157897,0.405695312,0.041727717
0.69,1.312543724,0.205985131,150,5.284820795,4.155399597,0.405390625,0.041107115
0.7,1.381453218,0.222343803,150,5.072764508,3.793620174,0.398015625,0.035111764
0.71,1.337476603,0.201971358,150,5.190387664,4.000822458,0.399109375,0.039658503
0.72,1.384264585,0.206154343,150,5.083288138,3.78262523,0.390757812,0.034454109
0.73,1.392021759,0.218571586,150,5.141516865,3.821841536,0.397671875,0.050207635
0.74,1.406207952,0.233188396,150,4.992457268,3.689574814,0.394101563,0.039064121
0.75,1.433679081,0.239973292,150,4.866913029,3.51485104,0.392585938,0.035492059
0.76,1.475663625,0.264618324,150,5.002038971,3.523546688,0.39425,0.039463878
0.77,1.441015567,0.206976444,150,5.029605648,3.585744372,0.394125,0.03360065
0.78,1.496829553,0.2333618,150,4.835342052,3.342044066,0.386054688,0.033574372
0.79,1.553389553,0.229392793,150,4.729064431,3.132153322,0.380289063,0.033338759
0.8,1.536040317,0.249699066,150,4.776083868,3.209514155,0.380960938,0.032584149
0.81,1.555770109,0.274046038,150,4.737437189,3.194066483,0.383179688,0.037027699
0.82,1.599164606,0.248859302,150,4.632329962,2.999269449,0.379453125,0.030479365
0.83,1.64715754,0.254283614,150,4.552725395,2.857086406,0.383859375,0.036089137
0.84,1.615440138,0.28296154,150,4.559784216,2.951847357,0.378609375,0.030950968
0.85,1.708955085,0.272653972,150,4.478440345,2.722388187,0.37628125,0.034626921
0.86,1.691534708,0.266803925,150,4.511157091,2.765238792,0.37153125,0.028930695
0.87,1.721082797,0.249439608,150,4.480262709,2.686126354,0.37225,0.031300151
0.88,1.737068226,0.263445147,150,4.394252696,2.621602763,0.37559375,0.033556233
0.89,1.805745064,0.237691763,150,4.252029319,2.422680927,0.365257813,0.02459696
0.9,1.776816428,0.248708046,150,4.313611636,2.507794185,0.368710937,0.026208201
0.91,1.840075431,0.233005288,150,4.237836708,2.369995311,0.363671875,0.024042199
0.92,1.914420756,0.218534016,150,4.172062368,2.226260948,0.362523438,0.023812483
0.93,1.876599086,0.194859917,150,4.201539589,2.278666837,0.361101563,0.02029786
0.94,1.980695343,0.308736233,150,4.036193579,2.103415033,0.354523438,0.013272191
0.95,1.961125154,0.299684967,150,4.064168012,2.1395015,0.3563125,0.021215845
0.96,2.042010101,0.349650331,150,3.983847763,2.023399608,0.356984375,0.020518285
0.97,2.231005051,0.467596801,150,3.778994949,1.799852814,0.354171875,0.016868025
0.98,2.431715729,0.507003932,150,3.568284271,1.575672232,0.349539062,0.008572484
0.99,2.553431458,0.520169719,150,3.446568542,1.461344465,0.3503125,0.011829941
1,3,0,150,3,1,0.347265625,1.11E-16
